Matras_Jerusalem_Domari_2000,Macalister_Domari_1914,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
ū qēra manan maʕ sawa.,"u ḳắre monă pánji u pánji, u mī́ndă ḥalōs. ","and they ate bread, and he betook himself.",,stealing_bread:02:15.5,0:02.0,2:15.5,2:17.4,stealing_bread.wav,stealing_bread.eaf,stealing_bread[02_155-02_174].wav,73220023-1
fadž’a li ēra payyos,Ắră pó͡iōs ḡăflḗtăː  ,her husband came by chance,,stealing_bread:01:23.3,0:01.7,1:23.3,1:25.0,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_233-01_250].wav,60780822-1
ū baṭṭilahra qaftar.,u tiwíbră ká͡utiškă giš,And he ceased from theft,,stealing_bread:02:27.9,0:01.1,2:27.9,2:29.1,stealing_bread.wav,stealing_bread.eaf,stealing_bread[02_279-02_291].wav,73306757-1
uhu šarīra wāšīm baši frāɣanki,"Štírdă min hnṓnă, cardṓsǐs kiyắkăn-păci ŭnkī́m, ","He arose from there, hid himself behind the things with me,",,stealing_bread:01:45.8,0:02.3,1:45.8,1:48.1,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_458-01_481].wav,96396065-1
"Tirdi manas kuryama,","Tírdi mónăs kuriḗmă,","She put the bread in the house, ",,stealing_bread:01:03.3,0:01.4,1:03.3,1:04.7,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_033-01_047].wav,31866334-1
"na ṭosim,","ni tṓsim,","she did not give it to me,",,stealing_bread:01:34.9,0:01.1,1:34.9,1:36.0,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_349-01_360].wav,72280764-1
na ēra wāšīm.,ʕngreʔ wăšī́im.,he did not go with me. ,,stealing_bread:00:44.4,0:01.2,0:44.4,0:45.5,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_444-00_455].wav,94018499-1
mangiškadom mēšīs ma rdahri dērim.," Mángiš-kerdōm, nirdahreʔ dắrim.","I begged, she would not give any to me. ",,stealing_bread:01:01.4,0:02.0,1:01.4,1:03.3,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_014-01_033].wav,48224616-1
mīndrawidos ʕind kapyaki ʕind kuryaki,"u ắră u tirdṓsis kuriăk-kăpiḗta, ","and came and put him at the door of the house,",,stealing_bread:01:51.8,0:03.0,1:51.8,1:54.9,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_518-01_549].wav,17490119-1
ṭosis ʕašart riqfe.,u intá a͡uráski das monḗk. ,And he gave them ten loaves.,,stealing_bread:02:06.0,0:01.5,2:06.0,2:07.5,stealing_bread.wav,stealing_bread.eaf,stealing_bread[02_060-02_075].wav,19416142-1
agir xarābīšēsanki kān ašti žmālēni.,kuriḗsăn-ăger dăwa͡iēni. ,there were camels before their tents.,,stealing_bread:00:22.2,0:05.6,0:22.2,0:27.8,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_222-00_278].wav,69460308-1
garom gēna xatrak ,"gắrōm gḗnă,",I went again,,stealing_bread:00:34.1,0:01.4,0:34.1,0:35.4,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_341-00_354].wav,41532742-1
"ēri bayor nigri, ama bīrom šarīrom.","Mī́ndōm ḥálōm, bá͡iūr ắri, cartrōm kiyắkăn-pắci. ","(I betook myself), your wife came, I hid behind the things. ",,stealing_bread:01:40.7,0:02.5,1:40.7,1:43.1,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_407-01_431].wav,26474727-1
ū ama šarīrom abuske.,"wă ắmă wēsrṓmi, carīrṓmi. ","and I stayed, I hid.",,stealing_bread:01:04.7,0:01.5,1:04.7,1:06.2,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_047-01_062].wav,41727245-1
nhe’ nkīman wala dabā’iḥe wala žmāle wala qari.,"u niheʔ ŭnkī́imăn wắlă káliăk, wắlă dăwá͡iăk, wắlă ḳắrăk, wắlă góriăk. ","We had not a goat, or a camel, or a donkey (or a mare). ",,stealing_bread:00:05.9,0:05.5,0:05.9,0:11.4,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_059-00_114].wav,28508668-1
štirda qaftinna ū wardžikeda ḥālis.,"Štírdă ḳa͡ut, diyár kerdă ḥálos. ","The thief arose, showed himself. ",,stealing_bread:01:30.6,0:02.3,1:30.6,1:32.8,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_306-01_328].wav,14734545-1
"štirdom min hnon,","Štírdōm min hnṓnă,",I rose from thereː,,stealing_bread:01:06.2,0:01.1,1:06.2,1:07.3,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_062-01_073].wav,73189197-1
qaftidom taran siri xurfāne.,Nándōm tắrăn sa͡i káli ḳá͡utiš. ,I brought three (300 in Macalister Domari) goats by theft.,,stealing_bread:00:39.0,0:03.2,0:39.0,0:42.2,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_390-00_422].wav,83270640-1
"mandomis wāšīm stannohōšar, ","wēsla͡urdṓmis dériăkămă, ","I caused him to wait in a place, ",,stealing_bread:00:48.5,0:04.3,0:48.5,0:52.7,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_485-00_527].wav,94854240-1
ikak tillēk ū ikak qašṭōṭēk.,yikák kŭštōtḗk u yikák tillḗk.,one was small and one was big. ,,stealing_bread:00:02.6,0:01.4,0:02.6,0:04.0,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_026-00_040].wav,08393708-1
parda sēfas ū šinda gurgis.,u pḗndă étirwali u mărdṓsis,and took the sword and slew him,,stealing_bread:01:54.9,0:04.1,1:54.9,1:59.0,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_549-01_590].wav,66482594-1
garom arātin nandomsan bāyimke.,"Rá͡urōm ărátăn, năndómsă bo͡iumkắră;","I departed by night,brought them to my father; ",,stealing_bread:00:31.8,0:02.3,0:31.8,0:34.1,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_318-00_341].wav,62360311-1
pandži ū qaftinna gare tirdesanni dīra. ,"u štírdă pánji u ḳa͡ut, tirdḗndsăn dīră. ","and he and the thief arose, and put them far away. ",,stealing_bread:02:01.7,0:04.3,2:01.7,2:06.0,stealing_bread.wav,stealing_bread.eaf,stealing_bread[02_017-02_060].wav,32854716-1
šarīrom baši frāɣanki.,Carī́rōm pắci kiyăkắnki.,I hid behind the things/clothes.,,stealing_bread:01:15.4,0:01.4,1:15.4,1:16.7,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_154-01_167].wav,60108142-1
nigrom mandža la qaftam di mana ,níngrōm kuriḗmă tă-ká͡utăn dī mónă.,I entered the house to steal two loves,,stealing_bread:01:37.4,0:03.3,1:37.4,1:40.7,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_374-01_407].wav,43362556-1
Bāyom wudēk.,Bó͡iōm a͡udḗk.,My father is an old man.,,stealing_bread:00:00.0,0:01.3,0:00.0,0:01.3,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_000-00_013].wav,61845326-1
"""kānik illi wāšīri?""","(Círdă pó͡iōs kắjjiăki)ː ""Kṓnik el-ū́nkeră?""","(the husband said) ""Who is with you?""",,stealing_bread:01:27.7,0:01.4,1:27.7,1:29.2,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_277-01_292].wav,77286835-1
lakeda baris sittēk.,Lăherdă bárus ḳa͡ut u sitḗk.,The thief saw his brother and he was asleep. ,,stealing_bread:02:11.9,0:02.4,2:11.9,2:14.4,stealing_bread.wav,stealing_bread.eaf,stealing_bread[02_119-02_144].wav,19195385-1
pó͡iōs kúriămʕ inheʔ,payyos ma kāniš kuryamēk,her husband was not in the house,,stealing_bread:01:17.8,0:02.5,1:17.8,1:20.3,stealing_bread.wav,stealing_bread.eaf,stealing_bread[01_178-01_203].wav,04111782-1
ašti ikak tātiyēk kānat manikara.,wínni kắjjik mónă-kernắsmă.,and there was a Gentile woman baking bread in the oven. ,,stealing_bread:00:57.6,0:03.7,0:57.6,1:01.4,stealing_bread.wav,stealing_bread.eaf,stealing_bread[00_576-01_014].wav,32612144-1
